County,CITIES,TYPE,SCHOOL NAME,SCHOOL (FMLS VALUE),ZIP,RATING
Cobb,Acworth,Elementary,Ford Elementary School,Ford,,9
Cobb,Acworth,Elementary,Frey Elementary School,FREY,,8
Cobb,Acworth,Elementary,Pickett's Mill Elementary,Pickett's Mill,,8
Cobb,Acworth,Elementary,Baker Elementary School,Baker,,7
Cobb,Acworth,Elementary,Clark Creek Elementary,Clark Creek,,7
Cobb,Acworth,Elementary,Pitner Elementary School,Pitner,,6
Cobb,Acworth,High,Allatoona High School,Allatoona,,8
Cobb,Acworth,Middle,Barber Middle School,Barber,,8
Cobb,Acworth,Middle,Durham Middle School,Durham,,8
Fulton,Alpharetta,Elementary,State Bridge Crossing Elementary School,State Bridge Crossing,,9
Fulton,Alpharetta,Elementary,Lake Windward Elementary School,Lake Windward,,9
Fulton,Alpharetta,Elementary,Creek View Elementary School,Creek View,,9
Fulton,Alpharetta,Elementary,Barnwell Elementary School,Barnwell,,8
Fulton,Alpharetta,Elementary,Medlock Bridge Elementary School,Medlock Bridge,,8
Fulton,Alpharetta,Elementary,Cogburn Woods Elementary School,Cogburn Woods,,8
Fulton,Alpharetta,Elementary,Crabapple Crossing Elementary School,Crabapple Crossing,,8
Fulton,Alpharetta,Elementary,Dolvin Elementary School,Dolvin,,8
Fulton,Alpharetta,Elementary,Alpharetta Elementary School,Alpharetta,,8
Fulton,Alpharetta,Elementary,Summit Hill Elementary,Summit Hill,,7
Fulton,Alpharetta,Elementary,Ocee Elementary School,Ocee,,7
Fulton,Alpharetta,Elementary,Midway Elementary School,Midway - Forsyth,30004,7
Fulton,Alpharetta,Elementary,Brandywine Elementary School,Brandywine,,6
Fulton,Alpharetta,Elementary,New Prospect Elementary School,New Prospect,,6
Fulton,Alpharetta,High,Chattahoochee High School,Chattahoochee,,9
Fulton,Alpharetta,High,Alpharetta High School,Alpharetta,,9
Fulton,Alpharetta,High,Milton High School,Milton,,8
Fulton,Alpharetta,High,Denmark High School,Denmark High School,,7
Fulton,Alpharetta,Middle,Webb Bridge Middle School,Webb Bridge,,9
Fulton,Alpharetta,Middle,Taylor Road Middle School,Taylor Road,,9
